,fecha,sistema,dmin,dmax
124,03/03/2006,SING,1457.72,1581.62
125,04/03/2006,SIC,3891.1,5275.56
126,04/03/2006,SING,1440.48,1566.85
127,05/03/2006,SIC,3404.8,5131.77
128,05/03/2006,SING,1389.94,1617.75
129,06/03/2006,SIC,3548.2,5720.57
130,06/03/2006,SING,1395.21,1530.7
131,07/03/2006,SIC,3872.4,5739.7
132,07/03/2006,SING,1447.46,1545.72
133,08/03/2006,SIC,3826.44,5760.09
134,08/03/2006,SING,1287.61,1507.11
135,09/03/2006,SIC,3876.8,5803.0
136,09/03/2006,SING,1313.81,1434.67
137,10/03/2006,SIC,3881.57,5652.53
138,10/03/2006,SING,1367.92,1487.95
139,11/03/2006,SIC,3809.7,5282.2
140,11/03/2006,SING,1368.57,1470.17
141,12/03/2006,SIC,3279.68,5045.79
142,12/03/2006,SING,1366.62,1520.92
143,13/03/2006,SIC,3527.8,5793.05
144,13/03/2006,SING,1419.5,1603.25
145,14/03/2006,SIC,3852.29,5861.2
146,14/03/2006,SING,1467.71,1585.58
147,15/03/2006,SIC,3834.1,5791.8
148,15/03/2006,SING,1497.49,1588.97
149,16/03/2006,SIC,3756.9,5817.05
150,16/03/2006,SING,1441.83,1580.03
151,17/03/2006,SIC,3815.3,5783.64
152,17/03/2006,SING,1483.51,1603.08
153,18/03/2006,SIC,3782.4,5420.33
154,18/03/2006,SING,1488.24,1598.2
155,19/03/2006,SIC,3220.7,5058.55
156,19/03/2006,SING,1332.03,1550.97
157,20/03/2006,SIC,3526.3,5861.51
158,20/03/2006,SING,1305.68,1459.73
159,21/03/2006,SIC,3821.3,5864.41
160,21/03/2006,SING,1381.06,1483.14
161,22/03/2006,SIC,3813.3,5869.7
162,22/03/2006,SING,1421.37,1508.98
163,23/03/2006,SIC,3858.2,5889.25
164,23/03/2006,SING,1361.67,1549.94
165,24/03/2006,SIC,3907.4,5818.45
166,24/03/2006,SING,1482.34,1590.61
167,25/03/2006,SIC,3771.7,5385.22
168,25/03/2006,SING,1480.15,1597.96
169,26/03/2006,SIC,3215.5,5077.02
170,26/03/2006,SING,1402.91,1542.43
171,27/03/2006,SIC,3505.4,5806.76
172,27/03/2006,SING,1411.62,1501.87
173,28/03/2006,SIC,3793.3,5901.5
174,28/03/2006,SING,1421.04,1522.97
175,29/03/2006,SIC,3837.0,5856.03
176,29/03/2006,SING,1405.85,1505.47
177,30/03/2006,SIC,3753.6,5758.47
178,30/03/2006,SING,1435.88,1522.32
179,31/03/2006,SIC,3816.5,5790.32
180,31/03/2006,SING,1435.31,1526.5
181,01/04/2006,SIC,3774.9,5342.82
182,01/04/2006,SING,1206.69,1311.84
183,02/04/2006,SIC,3235.2,5021.16
184,02/04/2006,SING,1124.03,1243.99
185,03/04/2006,SIC,3477.5,5734.44
186,03/04/2006,SING,1112.51,1211.24
187,04/04/2006,SIC,3692.7,5833.11
188,04/04/2006,SING,1081.14,1198.28
189,05/04/2006,SIC,3719.9,5785.82
190,05/04/2006,SING,984.01,1167.54
191,06/04/2006,SIC,3757.6,5786.62
192,06/04/2006,SING,1149.28,1257.87
193,07/04/2006,SIC,3761.7,5846.24
194,07/04/2006,SING,1184.43,1438.45
195,08/04/2006,SIC,3769.8,5442.54
196,08/04/2006,SING,1226.41,1418.26
197,09/04/2006,SIC,3269.3,5140.06
198,09/04/2006,SING,1124.51,1336.73
199,10/04/2006,SIC,3586.3,5946.12
200,10/04/2006,SING,1278.84,1518.09
201,11/04/2006,SIC,3821.6,5974.78
202,11/04/2006,SING,1302.59,1492.45
203,12/04/2006,SIC,3713.3,5896.07
204,12/04/2006,SING,1289.94,1427.83
205,13/04/2006,SIC,3810.0,5826.88
206,13/04/2006,SING,1254.3,1480.63
207,14/04/2006,SIC,3287.3,4823.93
208,14/04/2006,SING,1267.33,1476.8
209,15/04/2006,SIC,3193.8,5023.72
210,15/04/2006,SING,1322.76,1508.02
211,16/04/2006,SIC,3131.6,5043.74
212,16/04/2006,SING,1294.76,1512.06
213,17/04/2006,SIC,3468.2,5968.62
214,17/04/2006,SING,1306.1,1512.03
215,18/04/2006,SIC,3773.6,5976.51
216,18/04/2006,SING,1269.67,1492.71
217,19/04/2006,SIC,3697.69,5780.91
218,19/04/2006,SING,1224.78,1461.76
219,20/04/2006,SIC,3706.73,5834.3
220,20/04/2006,SING,1270.29,1478.69
221,21/04/2006,SIC,3797.05,5862.82
222,21/04/2006,SING,1308.66,1446.36
223,22/04/2006,SIC,3848.57,5538.35
224,22/04/2006,SING,1298.57,1483.25
225,23/04/2006,SIC,3355.9,5202.43
226,23/04/2006,SING,1350.19,1551.43
227,24/04/2006,SIC,3584.9,6040.19
228,24/04/2006,SING,1432.81,1526.29
229,25/04/2006,SIC,3933.4,6058.88
230,25/04/2006,SING,1384.08,1490.96
231,26/04/2006,SIC,3917.3,5936.42
232,26/04/2006,SING,1355.02,1475.97
233,27/04/2006,SIC,3826.4,5923.56
234,27/04/2006,SING,1362.86,1465.48
235,28/04/2006,SIC,3839.8,5817.14
236,28/04/2006,SING,1365.2,1451.97
237,29/04/2006,SIC,3846.7,5360.24
238,29/04/2006,SING,1371.93,1463.28
239,30/04/2006,SIC,3291.2,4842.88
240,30/04/2006,SING,1237.04,1438.93
241,01/05/2006,SIC,3170.9,4821.75
242,01/05/2006,SING,1375.2,1599.1
243,02/05/2006,SIC,3548.1,5276.6
244,02/05/2006,SING,1430.85,1580.57
245,03/05/2006,SIC,3823.0,5259.3
246,03/05/2006,SING,1387.91,1518.53
247,04/05/2006,SIC,3816.2,5245.69
248,04/05/2006,SING,1434.49,1575.42
249,05/05/2006,SIC,3875.2,5454.58
250,05/05/2006,SING,1427.54,1621.84
251,06/05/2006,SIC,3873.0,5166.56
252,06/05/2006,SING,1484.96,1628.04
253,07/05/2006,SIC,3372.8,4863.81
254,07/05/2006,SING,1498.09,1638.62
255,08/05/2006,SIC,3452.5,5158.21
256,08/05/2006,SING,1491.64,1598.67
257,09/05/2006,SIC,3854.5,5323.57
258,09/05/2006,SING,1388.11,1563.99
259,10/05/2006,SIC,3846.1,5275.5
260,10/05/2006,SING,1415.23,1538.53
261,11/05/2006,SIC,3872.0,5307.2
262,11/05/2006,SING,1438.35,1547.44
263,12/05/2006,SIC,3843.9,5325.22
264,12/05/2006,SING,1460.93,1574.07
265,13/05/2006,SIC,3779.5,5032.21
266,13/05/2006,SING,1471.4,1590.17
267,14/05/2006,SIC,3354.8,4888.32
268,14/05/2006,SING,1452.89,1600.32
269,15/05/2006,SIC,3543.9,5478.28
270,15/05/2006,SING,1484.03,1589.51
271,16/05/2006,SIC,3831.68,5259.64
272,16/05/2006,SING,1408.56,1548.26
273,17/05/2006,SIC,3858.2,5202.76
274,17/05/2006,SING,1459.75,1543.92
275,18/05/2006,SIC,3837.0,5325.6
276,18/05/2006,SING,1460.64,1578.44
277,19/05/2006,SIC,3853.9,5498.2
278,19/05/2006,SING,1482.5,1606.06
279,20/05/2006,SIC,3865.0,5093.7
280,20/05/2006,SING,1488.47,1582.3
281,21/05/2006,SIC,3383.5,5022.48
282,21/05/2006,SING,1436.5,1633.15
283,22/05/2006,SIC,3566.7,5396.2
284,22/05/2006,SING,1499.72,1632.24
285,23/05/2006,SIC,3812.2,5377.5
286,23/05/2006,SING,1521.33,1624.43
287,24/05/2006,SIC,3825.83,5518.44
288,24/05/2006,SING,1526.41,1610.94
289,25/05/2006,SIC,3826.84,5360.51
290,25/05/2006,SING,1484.49,1599.03
291,26/05/2006,SIC,3840.69,5438.73
292,26/05/2006,SING,1488.18,1590.89
293,27/05/2006,SIC,3837.83,5132.64
294,27/05/2006,SING,1507.45,1595.14
295,28/05/2006,SIC,3375.1,5017.54
296,28/05/2006,SING,1481.24,1633.5
297,29/05/2006,SIC,3602.44,5342.12
298,29/05/2006,SING,1538.28,1619.88
299,30/05/2006,SIC,1805.3,2799.73
300,30/05/2006,SING,1465.4,1629.93
301,31/05/2006,SING,1502.85,1638.38
302,01/06/2006,SIC,3827.3,5301.52
303,01/06/2006,SING,1371.92,1634.1
304,02/06/2006,SIC,3817.9,5411.41
305,02/06/2006,SING,1448.6,1568.34
306,03/06/2006,SIC,3840.0,5105.9
307,03/06/2006,SING,1408.79,1612.18
308,04/06/2006,SIC,3417.23,4903.61
309,04/06/2006,SING,1513.8,1652.65
310,05/06/2006,SIC,3562.2,5674.6
311,05/06/2006,SING,1504.26,1635.87
312,06/06/2006,SIC,3804.65,5531.14
313,06/06/2006,SING,1480.31,1610.74
314,07/06/2006,SIC,3812.05,5580.17
315,07/06/2006,SING,1379.1,1600.62
316,08/06/2006,SIC,3738.87,5445.8
317,08/06/2006,SING,1420.02,1606.0
318,09/06/2006,SIC,3791.63,5454.36
319,09/06/2006,SING,1518.83,1620.53
320,10/06/2006,SIC,3877.32,5318.31
321,10/06/2006,SING,1459.63,1640.72
322,11/06/2006,SIC,3384.04,4943.83
323,11/06/2006,SING,1465.89,1622.16
324,12/06/2006,SIC,3407.8,5249.22
325,12/06/2006,SING,1415.33,1631.22
326,13/06/2006,SIC,3575.5,5496.31
327,13/06/2006,SING,1430.03,1602.91
328,14/06/2006,SIC,3807.17,5297.38
329,14/06/2006,SING,1418.39,1573.86
330,15/06/2006,SIC,3861.22,5344.13
331,15/06/2006,SING,1491.72,1611.93
332,16/06/2006,SIC,3894.46,5365.59
333,16/06/2006,SING,1494.09,1605.17
334,17/06/2006,SIC,3824.45,5199.15
335,17/06/2006,SING,1526.75,1626.98
336,18/06/2006,SIC,3339.37,4876.72
337,18/06/2006,SING,1521.22,1644.26
338,19/06/2006,SIC,3489.01,5306.79
339,19/06/2006,SING,1456.53,1608.31
340,20/06/2006,SIC,3768.79,5465.17
341,20/06/2006,SING,1381.94,1520.05
342,21/06/2006,SIC,3787.64,5380.55
343,21/06/2006,SING,1381.91,1540.1
344,22/06/2006,SIC,3713.7,5231.59
345,22/06/2006,SING,1371.48,1525.26
346,23/06/2006,SIC,3779.42,5466.82
347,23/06/2006,SING,1436.19,1548.22
348,24/06/2006,SIC,3839.87,5309.07
349,24/06/2006,SING,1431.1,1554.97
350,25/06/2006,SIC,3429.16,4911.88
351,25/06/2006,SING,1452.05,1587.53
352,26/06/2006,SIC,3390.27,5182.84
353,26/06/2006,SING,1463.64,1620.17
354,27/06/2006,SIC,3586.02,5416.64
355,27/06/2006,SING,1484.99,1629.85
356,28/06/2006,SIC,3851.84,5367.73
357,28/06/2006,SING,1491.98,1581.07
358,29/06/2006,SIC,3864.08,5618.56
359,29/06/2006,SING,1466.52,1575.75
